"","filecoverage","totalcoverage"
"R/absDS.R",100,29.41
"R/asCharacterDS.R",100,29.41
"R/asDataMatrixDS.R",66.67,29.41
"R/asFactorDS1.R",62.5,29.41
"R/asFactorDS2.R",100,29.41
"R/asFactorSimpleDS.R",100,29.41
"R/asIntegerDS.R",100,29.41
"R/asListDS.R",81.82,29.41
"R/asLogicalDS.R",100,29.41
"R/asMatrixDS.R",66.67,29.41
"R/asNumericDS.R",83.33,29.41
"R/aucDS.R",86.67,29.41
"R/blackBoxDS.R",0,29.41
"R/blackBoxRanksDS.R",0,29.41
"R/BooleDS.R",75,29.41
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.41
"R/boxPlotGG_data_TreatmentDS.R",0,29.41
"R/boxPlotGGDS.R",0,29.41
"R/bp_standardsDS.R",88.89,29.41
"R/cbindDS.R",77.78,29.41
"R/cDS.R",100,29.41
"R/changeRefGroupDS.R",100,29.41
"R/checkNegValueDS.R",100,29.41
"R/checkPermissivePrivacyControlLevel.R",80,29.41
"R/classDS.R",100,29.41
"R/colnamesDS.R",100,29.41
"R/completeCasesDS.R",72.73,29.41
"R/corDS.R",81.82,29.41
"R/corTestDS.R",100,29.41
"R/covDS.R",59.57,29.41
"R/dataFrameDS.R",65.38,29.41
"R/dataFrameFillDS.R",93.33,29.41
"R/dataFrameSortDS.R",77.78,29.41
"R/dataFrameSubsetDS1.R",52.54,29.41
"R/dataFrameSubsetDS2.R",41.23,29.41
"R/densityGridDS.R",86.36,29.41
"R/dimDS.R",100,29.41
"R/dmtC2SDS.R",0,29.41
"R/elsplineDS.R",0,29.41
"R/extract.R",100,29.41
"R/extractQuantilesDS1.R",0,29.41
"R/extractQuantilesDS2.R",0,29.41
"R/gamlssDS.R",74.76,29.41
"R/getWGSRDS.R",79.75,29.41
"R/glmDS1.R",0,29.41
"R/glmDS2.R",0,29.41
"R/glmerSLMADS.assign.R",0,29.41
"R/glmerSLMADS2.R",0,29.41
"R/glmPredictDS.ag.R",0,29.41
"R/glmPredictDS.as.R",0,29.41
"R/glmSLMADS.assign.R",0,29.41
"R/glmSLMADS1.R",0,29.41
"R/glmSLMADS2.R",0,29.41
"R/glmSummaryDS.ag.R",0,29.41
"R/glmSummaryDS.as.R",0,29.41
"R/heatmapPlotDS.R",0,29.41
"R/hetcorDS.R",100,29.41
"R/histogramDS1.R",0,29.41
"R/histogramDS2.R",0,29.41
"R/igb_standardsDS.R",58.12,29.41
"R/isNaDS.R",100,29.41
"R/isValidDS.R",94.12,29.41
"R/kurtosisDS1.R",85,29.41
"R/kurtosisDS2.R",76.92,29.41
"R/lengthDS.R",100,29.41
"R/levelsDS.R",76.92,29.41
"R/lexisDS1.R",0,29.41
"R/lexisDS2.R",0,29.41
"R/lexisDS3.R",0,29.41
"R/listDisclosureSettingsDS.R",100,29.41
"R/listDS.R",100,29.41
"R/lmerSLMADS.assign.R",0,29.41
"R/lmerSLMADS2.R",0,29.41
"R/lsDS.R",84.62,29.41
"R/lsplineDS.R",0,29.41
"R/matrixDetDS1.R",0,29.41
"R/matrixDetDS2.R",0,29.41
"R/matrixDiagDS.R",0,29.41
"R/matrixDimnamesDS.R",0,29.41
"R/matrixDS.R",0,29.41
"R/matrixInvertDS.R",0,29.41
"R/matrixMultDS.R",0,29.41
"R/matrixTransposeDS.R",0,29.41
"R/meanDS.R",100,29.41
"R/meanSdGpDS.R",0,29.41
"R/mergeDS.R",0,29.41
"R/messageDS.R",100,29.41
"R/metadataDS.R",80,29.41
"R/miceDS.R",53.33,29.41
"R/minMaxRandDS.R",88.46,29.41
"R/namesDS.R",70.59,29.41
"R/nsDS.R",0,29.41
"R/numNaDS.R",100,29.41
"R/qlsplineDS.R",0,29.41
"R/quantileMeanDS.R",87.5,29.41
"R/rangeDS.R",84.62,29.41
"R/ranksSecureDS1.R",0,29.41
"R/ranksSecureDS2.R",0,29.41
"R/ranksSecureDS3.R",0,29.41
"R/ranksSecureDS4.R",0,29.41
"R/ranksSecureDS5.R",0,29.41
"R/rbindDS.R",100,29.41
"R/rBinomDS.R",100,29.41
"R/recodeLevelsDS.R",83.33,29.41
"R/recodeValuesDS.R",78.08,29.41
"R/repDS.R",0,29.41
"R/replaceNaDS.R",69.23,29.41
"R/reShapeDS.R",0,29.41
"R/rmDS.R",89.47,29.41
"R/rNormDS.R",100,29.41
"R/rowColCalcDS.R",78.57,29.41
"R/rPoisDS.R",100,29.41
"R/rUnifDS.R",100,29.41
"R/sampleDS.R",65.83,29.41
"R/scatterPlotDS.R",0,29.41
"R/seqDS.R",58.82,29.41
"R/setFilterDS.R",100,29.41
"R/setSeedDS.R",100,29.41
"R/skewnessDS1.R",85,29.41
"R/skewnessDS2.R",71.43,29.41
"R/sqrtDS.R",100,29.41
"R/subsetByClassDS.R",95.65,29.41
"R/subsetByClassHelper1.R",61.9,29.41
"R/subsetByClassHelper2.R",67.74,29.41
"R/subsetByClassHelper3.R",63.33,29.41
"R/subsetDS.R",39.62,29.41
"R/table1DDS.R",0,29.41
"R/table2DDS.R",0,29.41
"R/tableDS.assign.R",0,29.41
"R/tableDS.R",0,29.41
"R/tableDS2.R",0,29.41
"R/tapplyDS.assign.R",28.37,29.41
"R/tapplyDS.R",52.08,29.41
"R/testObjExistsDS.R",100,29.41
"R/uniqueDS.R",100,29.41
"R/unListDS.R",66.67,29.41
"R/varDS.R",100,29.41
"R/vectorDS.R",100,29.41
"R/zzz.R",0,29.41
